"title","field_expo_lieu_value","field_expo_type_value","field_expo_dates_value","field_expo_dates_value2","field_expo_curator_value","field_expo_code_value","field_expo_note_value","field_expo_sous_titre_value","field_oeuvre_adresse_web_url","filenames"
" L'algorithme pixelisé, \"Une Nuit d'Art-ventures 2005\"","Place Saint-Sulpice, Paris (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-PARISNUITDART",NULL,NULL,NULL,NULL
"+ - Dense","Galerie du Petit Château, Sceaux (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-SCEAUX",NULL,NULL,NULL,NULL
"10 ans","Centre d'art contemporain Bouvet Ladubay, 49400 Saumur (FRA)","groupe","2001-06-27T00:00:00","2001-09-30T00:00:00",NULL,"2001-E-SAUMUR",NULL,"40 artistes 40 œuvres",NULL,NULL
"10 ans d'édition 1982/1992","Fort Napoléon, La Seyne-sur-Mer (FRA)","groupe","1993-01-01T00:00:00","1993-01-01T00:00:00",NULL,"1993-E-SEYNESURMER",NULL,NULL,NULL,NULL
"1899/1999 - Le Passage du Siècle","Passage de Retz, Paris (FRA)","groupe","1999-01-01T00:00:00","1999-01-01T00:00:00",NULL,"1999-E-PARISRETZ",NULL,NULL,NULL,NULL
"1er contact","Le Cube, Ville d'Issy-les-Moulineaux, (FRA)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-ISSYLESMOULINEAUX",NULL,NULL,NULL,NULL
"2050 - Une brève histoire de l'avenir"," Musées royaux des Beaux-Arts de Belgique, 3, Rue de la Régence / Regentschapsstraat 1000 Bruxelles, Belgique","perso","2015-09-11T00:00:00","2016-01-24T00:00:00","Pierre-Yves Desaive, Jennifer Beauloye, Jacques Attali","2015-E-BRUXELLES","Le vernissage eut lieu le 10/09/2015",NULL,NULL,NULL
"51 artistes éditées par Eric Linard","Espace Saint Louis, Avignon (FRA)","groupe","2002-01-01T00:00:00","2002-01-01T00:00:00",NULL,"2002-E-AVIGNON",NULL,NULL,NULL,NULL
"51e Salon d'Art Contemporain de Montrouge","Montrouge (FRA)","groupe","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-MONTROUGE","51e Salon d'Art Contemporain de Montrouge, artiste invité",NULL,NULL,NULL
"80 artistes autour du Mondial","Galerie Enrico Navarra, Paris (FRA)","groupe","1998-01-01T00:00:00","1998-01-01T00:00:00",NULL,"1998-E-PARISNAVARRA",NULL,NULL,NULL,NULL
"?","New york","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2006-E-NEWYORK","-","-",NULL,"2006-e-newyork-1.jpg,2006-e-newyork-2.jpg,2006-e-newyork-3.jpg,2006-e-newyork-4.jpg,2006-e-newyork-5.jpg"
"A Light Odyssey","Galerie Messine, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARISMESSINE1",NULL,NULL,NULL,"2010-e-parismessine1-2.jpg,2010-e-parismessine1-3.jpg,2010-e-parismessine1-1.jpg"
"Abstract X ED 2","Galerie Aeroplastic, 186 rue Washington, B-1050, Bruxelles (BEL)","groupe","2017-06-16T00:00:00","2017-07-16T00:00:00","Jérôme Jacobs, Galerie Aeroplastics","2017-E-BRUXELLESWASHINGTON2","L'inauguration eut lieu le 15/06/2017. ",NULL,NULL,NULL
"Accrochage","Espace art et compagnie, Paris","groupe","1988-01-01T00:00:00","1988-01-01T00:00:00",NULL,"1988-E-PARISESPACEART","Accrochage avec Claude Rutault (Bosser/Tounereau)",NULL,NULL,NULL
"ACM Siggraph","Dallas","groupe","1986-01-01T00:00:00","1986-01-01T00:00:00",NULL,"1986-E-DALLAS",NULL,NULL,NULL,NULL
"Acquisitions 2000","Fonds départemental d'art contemporain Val-de-Marne, Créteil (FRA)","groupe","2001-01-01T00:00:00","2001-01-01T00:00:00",NULL,"2001-E-CRETEIL",NULL,NULL,NULL,NULL
"Acquisitions du FNAC","Centre national des arts plastiques, Paris (FRA)","groupe","1990-01-01T00:00:00","1990-01-01T00:00:00",NULL,"1990-E-PARISCNAP",NULL,NULL,NULL,NULL
"Adamà","PaRDes Laboratorio di Ricerca d'Arte Contemporanea, Via Miranese 42 - Mirano, Venezia, Italie","groupe","2011-05-15T00:00:00","2011-07-17T00:00:00","Maria Luisa Trevisan","2011-E-MIRANO","Miguel Chevalier participa à l'exposition avec l'oeuvre \"Voyages\" (DVD, 60'), 2004, Courtesy: PaciArte contemporary, Brescia, Italie","Cantica per la terra",NULL,"2004-vd-voyagesdvd10.jpg,2004-vd-voyagesdvd9.jpg,2004-vd-voyagesdvd7.jpg,2004-vd-voyagesdvd5.jpg,2004-vd-voyagesdvd4.jpg,2004-vd-voyagesdvd3.jpg,2004-vd-voyages6.jpg,2004-vd-voaygesdvd8.jpg"
"Al Musica","Philarmonie de Paris, (FRA)","groupe","2018-04-06T00:00:00","2018-10-19T00:00:00",NULL,"2018-E-PARISPHIL",NULL,NULL,NULL,NULL
"Aller-Retour","Kwangju (KOR)","groupe","2000-03-29T00:00:00","2000-06-07T00:00:00","Kwangsu Oh et Lee Subin","2000-E-KWANGJU","L'installation prévue à l'origine pour la troisième Biennale internationale de Kwangju était \"Périphérie\" (1998).","Biennale Internationale 2000 de Kwangju",NULL,NULL
"Amsterdam","amsterdam","perso","1950-01-01T00:00:00","1950-01-01T00:00:00","-","2010-E-AMSTERDAM","-","-",NULL,"2010-e-amsterdam-4.jpg,2010-e-amsterdam-3.jpg,2010-e-amsterdam-2.jpg,2010-e-amsterdam-1.jpg"
"Anthropométrie","Galleria Vivita 2, Firenze (ITA)","perso","1990-10-13T00:00:00","1990-11-24T00:00:00","Galleria Vivita 2, Borgo San Frediano 69R, Florence, (ITA)","1990-E-FLORENCE","L'inauguration eut lieu le 12/10/1990 à partir de 18,00 heures.

\"Pour cette exposition proposée dans le cadre de la galerie Vivita, il m'a paru judicieux d'utiliser l'énorme production de l'imagerie médicale contemporaine (Scanner, échographie, thermographie, RMN ou resonnance magnétique nucléaire etc...) qui traite du corps humain externe et surtout interne : images analytiques décortiquant dans ses moindres détails l'homme soumis à une quasi paramétrisation. (...) Différents documents médicaux seront recyclés numériquement et imprimés dans des matériaux synthétiques de même nature que ces images de synthèse. Les images et leurs transcriptions codées (0,1) n'ont pas la prétention de rivaliser avec le monde scientifique, mais seulement d'y trouver une plasticité et une émotion intérieure (...)\", d'après le communiqué de l'artiste.",NULL,NULL,"1990-e-anthropometrieflorence3.jpg,1990-e-anthropometrieflorence2.jpg,1990-e-anthropometrieflorence1.jpg,1990-e-anthropometrieinvitr.jpg,1990-e-anthropometrieinvitv.jpg"
"Anthropométrie","Puits de l'Hôpital, Le Réservoir, Le Kremlin-Bicêtre (FRA)","perso","1990-06-09T00:00:00","1990-07-01T00:00:00",NULL,"1990-E-KREMLINBICETRE","Installation stéréoscopique avec la collaboration de Benoît Berry",NULL,NULL,NULL
"Aparté 2","Ecole des beaux-arts dans divers hôtels de la ville, Reims (FRA)","groupe","1997-01-01T00:00:00","1997-01-01T00:00:00",NULL,"1997-E-REIMS",NULL,NULL,NULL,NULL
"Arabesques Numériques","IFM, Marrakech (MAR)","perso","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-MARRAKECH",NULL,NULL,NULL,"2005-e-marrakech-9.jpg,2005-e-marrakech-7.jpg,2005-e-marrakech-8.jpg,2005-e-marrakech-10.jpg,2005-e-marrakech-6.jpg,2005-e-marrakech-5.jpg,2005-e-marrakech-4.jpg,2005-e-marrakech-3.jpg,2005-e-marrakech-1.jpg,2005-e-marrakech-2.jpg"
"Arabesques numériques 2","Palais Ksar Char Bagh, Marrakech (MAR)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-MARRAKECH",NULL,NULL,NULL,NULL
"Arborescence 04","Ecole Supérieure d'Art d'Aix, Aix-en-Provence (FRA)","groupe","2004-01-01T00:00:00","2004-01-01T00:00:00",NULL,"2004-E-AIXENPROVENCE",NULL,NULL,NULL,NULL
"Archisculpture","Isle-sur-la-Sorgue","groupe","2015-05-14T00:00:00","2015-11-01T00:00:00",NULL,"2015-E-ISLESURSORGUE",NULL,NULL,NULL,NULL
"ARCO 1995","Espace d'art Yvonamor Palix, Madrid (ESP)","groupe","1995-01-01T00:00:00","1995-01-01T00:00:00",NULL,"1995-E-MADRID",NULL,NULL,NULL,NULL
"Art & industrie","Musée des beaux-arts, Nantes (FRA)","groupe","1992-01-01T00:00:00","1992-01-01T00:00:00",NULL,"1992-E-NANTES",NULL,NULL,NULL,NULL
"Art & publicité 1890-1990","Centre Georges Pompidou, Paris (FRA)","groupe","1990-01-01T00:00:00","1990-01-01T00:00:00",NULL,"1990-E-PARISPOMPIDOU",NULL,NULL,NULL,NULL
"Art 3000","Centre Georges Pompidou, Paris (FRA)","groupe","1991-01-01T00:00:00","1991-01-01T00:00:00",NULL,"1991-E-PARISPOMPIDOU",NULL,NULL,NULL,NULL
"Art and playing - Funsters","Seoul Arts Center, Seoul (KOR)","perso","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-SEOULARTCENTER",NULL,NULL,NULL,"2006-e-seoulartcenter-2.jpg,2006-e-seoulartcenter-3.jpg,2006-e-seoulartcenter-4.jpg,2006-e-seoulartcenter-1.jpg"
"Art Basel, 2018","Messe Basel - Messeplatz 10, 4005 Basel (CH)","perso","2018-06-14T00:00:00","2018-06-17T00:00:00","The Mayor Gallery (Londres)","2018-E-BASEL","Preview et vernissage sur invitation les 12 et 13 juin","Art Basel avec The Mayor Gallery (Londres)",NULL,NULL
"Art Brussels","Galerie Suzanne Tarasiève (Paris), Bruxelles (BEL)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-BRUXELLES",NULL,NULL,NULL,NULL
"Art Brussels 2004","Galerie Suzanne Tarasiève, Bruxelles (BEL)","groupe","2004-01-01T00:00:00","2004-01-01T00:00:00",NULL,"2004-E-BRUXELLES",NULL,NULL,NULL,NULL
"Art Brussels 2005","Suzanne Tarasiève et Galerie Art of this Century, Art Brussels 2005, Bruxelles (BEL)","groupe","2005-01-01T00:00:00","2005-01-01T00:00:00",NULL,"2005-E-BRUXELLES",NULL,NULL,NULL,NULL
"Art Brussels 2006","Suzanne Tarasiève, Bruxelles (BEL)","groupe","2006-01-01T00:00:00","2006-01-01T00:00:00",NULL,"2006-E-BRUXELLESARTB",NULL,NULL,NULL,NULL
"Art Central Hong Kong","Central Harbourfront Event Space, 9 Lung Wo Road, Hong Kong","groupe","2015-03-14T00:00:00","2015-03-16T00:00:00","Galerie Puerta Roja","2015-E-HONGKONG","A côté de celles de Miguel Chevalier, la galerie Puerta Roja présenta à l'occasion aussi des oeuvres de Javier León Pérez.
Le vernissage eut lieu le 13/03/2015.",NULL,NULL,NULL
"Art Elysées","Galerie Messine (Paris), Champs Elysées, Paris (FRA)","groupe","2010-01-01T00:00:00","2010-01-01T00:00:00",NULL,"2010-E-PARISMESSINE2",NULL,NULL,NULL,NULL
"Art Elysées - Art & Design 2016","Avenue des Champs-Elysées - 75008 Paris, (FRA)","groupe","2016-10-20T00:00:00","2016-10-24T00:00:00","Galerie Lélia Mordoch, Galerie Scène Ouverte, Galerie MiniMasterpiece","2016-E-PARISELYSEES","Art Elysées réunit sous 3 pavillons éphémères près de 80 galeries, présentant un large panorama de l'art moderne, de l'art contemporain et du mobilier design du XXème siècle.
Miguel Chevalier a présenté les oeuvres \"Méta-cités 4\", \"Méta-cités 1\", \"Pixels Archi-sculpture\", \"Mosaïque de Pixels\" et \"Méta-cités 2\" avec la Galerie Lélia Mordoch dans la section Art (stand 146 A); l'oeuvre \"Poussières de Pixels\" avec la Galerie Scène Ouverte dans la section Design (stand 306 C) et l'oeuvre \"Voxels Filaires\" avec la Galerie MiniMasterpiece dans la section Design (stand 308 C).",NULL,NULL,"2016-e-artelysees2.jpg,2016-e-artelysees1.jpg"
"Art ElyséesAvec la Galerie Mordoch","Pavillons, avenue des Champs-Elysées, 75008 Paris (F)","perso","2019-10-17T00:00:00","2019-10-21T00:00:00",NULL,"2019-E-PARISELYSEES","Avec la Galerie Mordoch (Booth 136 A)
http://artelysees.fr
http://leliamordoch.com",NULL,NULL,NULL
"Art et sport","Granit Centre d'art contemporain, Belfort","groupe","1988-01-01T00:00:00","1988-01-01T00:00:00",NULL,"1988-E-BELFORTGRANIT",NULL,NULL,NULL,NULL
"Art fractal","Espace Mabel Semmler, Paris (FRA)","groupe","1997-05-14T00:00:00","1997-06-28T00:00:00","Henri-François Debailleux","1997-E-PARISSEMMLER",NULL,NULL,NULL,NULL
